Month_Year,Category,Ship_State,Order_Region,Total_Revenue,Total_Orders,Total_Units_Sold,Revenue_Segment
Apr-2021,TOP,CANADA,International,220883.63,194,182.0,Low
Jul-2025,SET,HIMACHAL PRADESH,Domestic,374964911.92,302301,275205.0,High
Feb-2023,BLOUSE,UTTAR PRADESH,Domestic,208945049.73,240686,245718.0,High
Sep-2023,BLOUSE,NEW ZEALAND,International,273525306.28,604813,585760.0,High
Jun-2023,TOP,PUNJAB,Domestic,15428095.71,27937,25553.0,Medium
Aug-2021,BLOUSE,SOUTH KOREA,International,15792020.4,18473,18897.0,Medium
Aug-2022,TOP,MEXICO,International,251382.87,361,352.0,Low
Feb-2024,SET,PUNJAB,Domestic,268386.64,196,199.0,Low
May-2021,SAREE,JAPAN,International,228729.58,595,592.0,Low
Oct-2025,TOP,JAPAN,International,493718582.82,634883,581794.0,High
Mar-2022,TOP,SPAIN,International,321389319.18,602836,520963.0,High
Aug-2022,TOP,DADRA AND NAGAR,Domestic,320262.92,557,499.0,Low
Jun-2021,BOTTOM,SAUDI ARABIA,International,6869465.36,5734,5798.0,Medium
Apr-2022,BLOUSE,PUNJAB,Domestic,495612.0,1170,1170.0,High
May-2022,KURTA,MAHARASHTRA,Domestic,3737943456.0,8171024,7856184.0,High
May-2023,BOTTOM,ASSAM,Domestic,16518689.43,22788,22358.0,Medium
Feb-2024,SAREE,UTTARAKHAND,Domestic,139678.26,121,105.0,Low
Jun-2021,TOP,VIETNAM,International,295763.49,292,268.0,Low
Mar-2022,BLOUSE,UTTAR PRADESH,Domestic,13572516.44,9413,8234.0,Medium
Feb-2024,TOP,ITALY,International,419533.7,525,526.0,Low
Feb-2025,SET,RAJSTHAN,Domestic,228704736.21,422806,368480.0,High
Sep-2022,SET,CHHATTISGARH,Domestic,11013714.0,14913,12849.0,High
Apr-2022,SET,HIMACHAL PRADESH,Domestic,124492173.0,157350,147909.0,High
Dec-2022,TOP,International,International,31729941.0,25994,23506.0,High
Jul-2021,BLOUSE,BELGIUM,International,82245909.55,135327,124644.0,High
Feb-2021,BOTTOM,NORWAY,International,406129859.69,640066,571029.0,High
Apr-2022,BOTTOM,DELHI,Domestic,62605.0,133,133.0,Medium
May-2022,BOTTOM,JHARKHAND,Domestic,16682.0,38,38.0,Low
Mar-2022,BOTTOM,KARNATAKA,Domestic,8363596.54,14811,13828.0,Medium
Jun-2021,TOP,CHHATTISGARH,Domestic,19000515.71,50977,50318.0,Medium
Jan-2021,SET,DADRA AND NAGAR,Domestic,3851045.39,3614,3607.0,Medium
Mar-2022,TOP,PUNJAB/MOHALI/ZIRAKPUR,Domestic,390240.1,496,481.0,Low
Nov-2023,BOTTOM,RAJSHTHAN,Domestic,65069.16,166,160.0,Low
Apr-2022,BOTTOM,MEGHALAYA,Domestic,6251.0,19,19.0,Low
Dec-2021,BOTTOM,UTTARAKHAND,Domestic,169790741.43,134447,137442.0,High
Mar-2024,BLOUSE,ORISSA,Domestic,604305.28,504,519.0,Medium
Dec-2021,BOTTOM,JAPAN,International,432083098.18,943362,934879.0,High
Nov-2023,TOP,NL,Domestic,419698.12,679,638.0,Low
Nov-2023,SAREE,TRIPURA,Domestic,29763719.3,54489,51623.0,High
Sep-2024,SAREE,PUNJAB/MOHALI/ZIRAKPUR,Domestic,7003490.9,12444,11813.0,Medium
Oct-2025,BOTTOM,RAJSHTHAN,Domestic,14194823.08,9720,8845.0,Medium
Jun-2023,SAREE,HIMACHAL PRADESH,Domestic,5846198.73,8546,8568.0,Medium
Jan-2021,SAREE,NAGALAND,Domestic,129673638.44,88037,84197.0,High
Dec-2025,TOP,CHANDIGARH,Domestic,10075825.02,9887,8593.0,Medium
Jan-2021,BLOUSE,UAE,International,138711.06,221,208.0,Low
Jul-2023,TOP,KERALA,Domestic,5724883.63,6194,5965.0,Medium
Oct-2022,SET,UTTAR PRADESH,Domestic,12905458.61,10384,9072.0,Medium
Aug-2025,BLOUSE,NEW ZEALAND,International,184527.48,128,124.0,Low
Sep-2024,KURTA,UAE,International,7290497.47,6327,5838.0,Medium
Apr-2022,SAREE,UTTAR PRADESH,Domestic,595350.0,735,735.0,High
Apr-2025,BLOUSE,NEW ZEALAND,International,7530391.9,5985,5714.0,Medium
Apr-2021,SAREE,IRELAND,International,2782787.81,3317,3225.0,Medium
Dec-2023,BOTTOM,RJ,Domestic,320527088.95,234056,222617.0,High
Mar-2025,BOTTOM,CHHATTISGARH,Domestic,8828577.98,9142,7917.0,Medium
Apr-2022,KURTA,RAJSTHAN,Domestic,17494967.72,11916,12437.0,Medium
Jul-2025,TOP,IRELAND,International,451321.71,458,422.0,Low
Sep-2023,BOTTOM,UAE,International,9932419.73,15198,13704.0,Medium
Jun-2022,BOTTOM,MALAYSIA,International,43068283.61,29929,30747.0,High
Apr-2021,TOP,DADRA AND NAGAR,Domestic,323495433.75,600410,560582.0,High
Jul-2021,SAREE,NEW ZEALAND,International,48680.31,58,52.0,Low
May-2022,SET,PUDUCHERRY,Domestic,11134086.0,14686,13637.0,High
Aug-2021,TOP,GERMANY,International,368433.27,285,250.0,Low
Oct-2025,TOP,SAUDI ARABIA,International,334900.89,359,312.0,Low
May-2023,TOP,MEGHALAYA,Domestic,147923.88,385,331.0,Low
Apr-2025,TOP,PORTUGAL,International,5453412.41,4095,4054.0,Medium
Feb-2025,KURTA,DELHI,Domestic,357339690.26,423728,380785.0,High
Apr-2024,KURTA,SIKKIM,Domestic,307186916.33,911088,824515.0,High
May-2025,SAREE,ORISSA,Domestic,8265094.3,6739,5779.0,Medium
Jul-2022,BLOUSE,KERALA,Domestic,1975317.0,1369,1278.0,High
Aug-2025,BOTTOM,UNITED KINGDOM,International,163528.66,160,149.0,Low
Mar-2022,TOP,MAHARASHTRA,Domestic,222999.0,861,861.0,High
Apr-2023,SET,SINGAPORE,International,56133783.99,129079,110990.0,High
Nov-2024,BLOUSE,MALAYSIA,International,499313.1,476,457.0,Low
Dec-2022,TOP,UTTARAKHAND,Domestic,9841866.23,30602,28591.0,Medium
Mar-2023,BLOUSE,KARNATAKA,Domestic,209002467.95,202943,190546.0,High
Dec-2022,SET,GOA,Domestic,7677459.0,4502,4467.0,High
Apr-2024,SAREE,MANIPUR,Domestic,16858314.03,49760,47472.0,Medium
Oct-2022,SAREE,TELANGANA,Domestic,12807827.6,35596,36691.0,Medium
Apr-2022,BOTTOM,ODISHA,Domestic,25156.0,76,76.0,Low
Sep-2025,BOTTOM,SIKKIM,Domestic,294503642.37,441749,419266.0,High
Mar-2025,TOP,HIMACHAL PRADESH,Domestic,11597586.12,19485,18499.0,Medium
Jan-2021,KURTA,HIMACHAL PRADESH,Domestic,149100294.0,189125,194476.0,High
Jul-2025,SAREE,MIZORAM,Domestic,14035.76,10,8.0,Low
Dec-2021,KURTA,BRAZIL,International,131467851.63,167178,151100.0,High
Oct-2024,TOP,PORTUGAL,International,277872.95,241,207.0,Low
Apr-2022,KURTA,POLAND,International,6701067.76,15509,13889.0,Medium
Mar-2021,SET,INDONESIA,International,454870.41,317,330.0,Low
Sep-2022,BOTTOM,HIMACHAL PRADESH,Domestic,24174525.0,17904,17871.0,High
Apr-2022,BOTTOM,DADRA AND NAGAR,Domestic,344814.73,412,372.0,Low
Jan-2023,TOP,KERALA,Domestic,17516204.77,43300,41025.0,Medium
May-2022,TOP,HIMACHAL PRADESH,Domestic,4320498.0,8610,8610.0,High
Apr-2021,BOTTOM,BELGIUM,International,405688692.05,908726,795158.0,High
Jul-2023,SET,PORTUGAL,International,129286.88,98,87.0,Low
Aug-2023,TOP,SWEDEN,International,439213336.56,1181587,1214340.0,High
Feb-2021,SAREE,CANADA,International,243224.19,561,548.0,Low
Mar-2022,KURTA,RAJASTHAN,Domestic,3015056.0,7408,7408.0,High
Apr-2025,SET,SWEDEN,International,183590.2,132,135.0,Low
Dec-2023,KURTA,ITALY,International,15397282.33,50302,51989.0,Medium
Aug-2022,SAREE,UTTAR PRADESH,Domestic,2376364.0,1404,1217.0,High
Dec-2021,SAREE,SPAIN,International,430190.0,1032,1022.0,Low
Feb-2023,BOTTOM,MALAYSIA,International,5176489.07,9694,9218.0,Medium
Mar-2022,SET,GOA,Domestic,568558.0,1049,1049.0,High
May-2022,BOTTOM,RAJSHTHAN,Domestic,16837601.84,29197,29667.0,Medium
Aug-2021,KURTA,NORWAY,International,13312094.72,9659,8981.0,Medium
Dec-2025,TOP,GERMANY,International,115616.21,143,126.0,Low
May-2024,KURTA,DENMARK,International,84887866.0,74841,65414.0,High
May-2022,KURTA,NEW DELHI,Domestic,11923176.0,29632,29632.0,High
Jun-2022,SET,UTTARAKHAND,Domestic,124987301.0,153154,146860.0,High
Oct-2024,KURTA,ITALY,International,10176279.85,9021,8271.0,Medium
Dec-2025,BLOUSE,GERMANY,International,7204538.58,6948,7102.0,Medium
May-2024,BOTTOM,ASSAM,Domestic,284632347.52,389133,340553.0,High
Oct-2022,BOTTOM,SAUDI ARABIA,International,15006952.71,44107,42518.0,Medium
Feb-2024,KURTA,KERALA,Domestic,16678054.2,14569,15139.0,Medium
Jan-2025,BOTTOM,ODISHA,Domestic,7773638.45,16244,15621.0,Medium
Nov-2021,SAREE,UAE,International,11325108.84,11262,10533.0,Medium
May-2023,BLOUSE,HARYANA,Domestic,117369554.59,78351,75081.0,High
Jun-2021,KURTA,ITALY,International,5755481.31,10877,10756.0,Medium
Apr-2022,TOP,JHARKHAND,Domestic,18250617.0,37023,36162.0,High
Dec-2021,BOTTOM,MIZORAM,Domestic,233796570.13,582879,575027.0,High
Mar-2023,BLOUSE,KERALA,Domestic,262099.91,197,185.0,Low
Jun-2022,KURTA,TAMIL NADU,Domestic,2510226728.0,5630080,5511552.0,High
Dec-2021,BLOUSE,PORTUGAL,International,1285634.44,1405,1385.0,Medium
Jun-2023,SET,CANADA,International,17077588.33,26395,27462.0,Medium
May-2022,BOTTOM,CHANDIGARH,Domestic,6840.0,19,19.0,Low
Nov-2022,TOP,ORISSA,Domestic,89193.71,147,152.0,Low
Oct-2022,TOP,SOUTH AFRICA,International,397141.47,1212,1188.0,Low
Dec-2025,BLOUSE,SPAIN,International,8359192.03,5821,5234.0,Medium
Oct-2025,SAREE,AR,Domestic,479512088.62,320817,319565.0,High
Sep-2022,SET,CANADA,International,406815145.64,1109140,1129617.0,High
Apr-2022,TOP,WEST BENGAL,Domestic,85493856.0,182532,178227.0,High
Jul-2025,BOTTOM,BRAZIL,International,338106763.22,305556,275134.0,High
Jun-2022,SET,PUDUCHERRY,Domestic,25425662.0,34617,32519.0,High
Jun-2021,BOTTOM,DADRA AND NAGAR,Domestic,225912767.28,417369,397685.0,High
May-2024,KURTA,MEGHALAYA,Domestic,118262694.85,168517,154371.0,High
Apr-2023,BLOUSE,SWEDEN,International,158608.64,136,125.0,Low
Jun-2025,KURTA,SOUTH KOREA,International,10944488.25,29399,25468.0,Medium
Jul-2023,TOP,ASSAM,Domestic,357574425.94,456653,472182.0,High
Jul-2025,BLOUSE,International,Domestic,49362442.48,101338,95092.0,High
Jul-2022,BLOUSE,PUNJAB/MOHALI/ZIRAKPUR,Domestic,16095731.36,30864,28057.0,Medium
Dec-2022,KURTA,PONDICHERRY,Domestic,155279.99,110,95.0,Low
Aug-2025,SAREE,MALAYSIA,International,499308919.27,609142,603411.0,High
Nov-2025,TOP,TELANGANA,Domestic,219237501.92,457779,476806.0,High
May-2022,BOTTOM,ANDHRA PRADESH,Domestic,491341.95,361,350.0,Low
Oct-2025,TOP,PUNJAB,Domestic,254613.64,361,328.0,Low
Jun-2022,SAREE,KARNATAKA,Domestic,457170.0,588,588.0,High
Mar-2024,SET,NL,Domestic,17592929.57,35908,33794.0,Medium
Jan-2021,TOP,SOUTH KOREA,International,306831.83,416,371.0,Low
Jun-2022,BOTTOM,ANDHRA PRADESH,Domestic,5928.0,19,19.0,Low
Jun-2022,BOTTOM,ODISHA,Domestic,6840.0,19,19.0,Low
Jun-2023,SET,PUNJAB,Domestic,2073060.46,1872,1849.0,Medium
Apr-2025,BOTTOM,RJ,Domestic,11859799.82,30788,31663.0,Medium
Mar-2023,KURTA,DENMARK,International,34599622.79,29515,30247.0,High
Nov-2022,TOP,GERMANY,International,187899.01,550,558.0,Low
Aug-2024,BLOUSE,ARUNACHAL PRADESH,Domestic,368796.58,909,894.0,Low
Jan-2021,BOTTOM,MANIPUR,Domestic,8514910.97,6129,6084.0,Medium
Jun-2021,SAREE,GERMANY,International,46662.39,56,53.0,Low
Apr-2022,SET,ASSAM,Domestic,257944904.0,325190,312602.0,High
May-2022,SET,HIMACHAL PRADESH,Domestic,98439209.0,126929,119586.0,High
Apr-2025,SAREE,BIHAR,Domestic,379996.04,316,285.0,Low
Aug-2022,SAREE,KERALA,Domestic,2639855.87,2756,2593.0,Medium
May-2022,TOP,PUNJAB,Domestic,36457323.0,72324,68880.0,High
Oct-2025,SET,GERMANY,International,422763919.35,355968,364562.0,High
Sep-2023,SET,IRELAND,International,9678669.49,26961,23947.0,Medium
Nov-2025,TOP,CHANDIGARH,Domestic,15402299.43,15447,15062.0,Medium
Feb-2021,SET,ITALY,International,16923499.55,17651,15777.0,Medium
Dec-2022,BLOUSE,ITALY,International,140584.21,119,107.0,Low
Feb-2025,BLOUSE,KERALA,Domestic,18478134.79,39405,35266.0,Medium
Sep-2022,BOTTOM,GUJARAT,Domestic,139872.75,430,372.0,Low
Jun-2022,SET,MEGHALAYA,Domestic,496735.1,412,357.0,Low
Sep-2022,KURTA,CHHATTISGARH,Domestic,2199368.0,1300,1114.0,High
Oct-2024,SET,VIETNAM,International,13146416.1,11231,10017.0,Medium
Dec-2021,TOP,AUSTRALIA,International,8664555.29,15374,13068.0,Medium
Jun-2022,TOP,PUNJAB,Domestic,13530149.57,12967,12223.0,Medium
Mar-2021,SAREE,AUSTRALIA,International,473763.69,345,322.0,Low
Jun-2022,BLOUSE,ASSAM,Domestic,292500.0,468,468.0,High
Oct-2021,SET,SOUTH AFRICA,International,10365667.26,20970,20584.0,Medium
Dec-2023,TOP,SWITZERLAND,International,182505933.17,210230,204476.0,High
Nov-2025,TOP,INDONESIA,International,96832.6,71,70.0,Low
Jul-2025,SET,JAPAN,International,351308.06,561,510.0,Low
Dec-2021,SET,ANDHRA PRADESH,Domestic,11861258.6,7936,8192.0,Medium
Jun-2023,BOTTOM,ODISHA,Domestic,111330.86,78,72.0,Low
Apr-2022,TOP,TAMIL NADU,Domestic,88893945.0,187698,182532.0,High
Sep-2023,KURTA,TAMIL NADU,Domestic,3536005.66,6194,5527.0,Medium
Oct-2024,SAREE,NETHERLANDS,International,439344234.86,1124604,1011398.0,High
May-2022,TOP,MEGHALAYA,Domestic,3473274.0,6888,6888.0,High
Jun-2023,BOTTOM,GUJARAT,Domestic,158929456.65,181519,189609.0,High
Aug-2023,SET,RJ,Domestic,457859634.2,830632,712585.0,High
Oct-2024,BLOUSE,SPAIN,International,11625947.39,8103,7605.0,Medium
Oct-2025,BOTTOM,PORTUGAL,International,343117151.73,229257,230641.0,High
Dec-2023,SAREE,BIHAR,Domestic,177099.88,121,116.0,Low
Jun-2023,BOTTOM,GERMANY,International,218085559.22,518573,493594.0,High
Jan-2023,SAREE,PORTUGAL,International,5225897.06,4768,4852.0,Medium
May-2022,SET,ANDHRA PRADESH,Domestic,441735998.0,532892,502471.0,High
Oct-2022,TOP,TAMIL NADU,Domestic,90137.0,412,410.0,Medium
Apr-2022,SET,ANDHRA PRADESH,Domestic,502181476.0,622057,596881.0,High
Oct-2024,SAREE,HARYANA,Domestic,8484234.78,6277,5709.0,Medium
Apr-2022,TOP,TELANGANA,Domestic,86965305.0,185115,178227.0,High
Nov-2021,BLOUSE,THAILAND,International,49251.81,59,52.0,Low
May-2022,BLOUSE,ANDHRA PRADESH,Domestic,1296360.0,2340,2340.0,High
Mar-2021,TOP,HARYANA,Domestic,10216.96,10,8.0,Low
Jun-2021,SAREE,TRIPURA,Domestic,4716426.68,4175,4052.0,Medium
Jun-2022,BOTTOM,HARYANA,Domestic,18563.0,57,57.0,Low
Nov-2024,SAREE,SAUDI ARABIA,International,181874120.4,156582,156357.0,High
Jun-2023,SET,SIKKIM,Domestic,83455.53,88,84.0,Low
Jun-2021,SET,CANADA,International,38690248.01,29658,28884.0,High
May-2022,SET,DELHI,Domestic,690846224.0,884307,846543.0,High
Oct-2022,KURTA,UNITED KINGDOM,International,11760982.28,16190,15029.0,Medium
Apr-2024,BOTTOM,TELANGANA,Domestic,16868456.73,20134,19677.0,Medium
Mar-2024,SET,AUSTRALIA,International,466199885.41,894707,838673.0,High
Jun-2024,SAREE,SOUTH AFRICA,International,19402544.28,13366,12316.0,Medium
Jun-2025,KURTA,MEGHALAYA,Domestic,237910.56,162,159.0,Low
Nov-2021,BLOUSE,MEGHALAYA,Domestic,9185037.26,28931,26022.0,Medium
Jul-2025,BOTTOM,VIETNAM,International,495193.98,1211,1190.0,Low
Jan-2021,SET,MANIPUR,Domestic,306234329.05,319160,328755.0,High
Jul-2025,TOP,GUJARAT,Domestic,5949127.23,10307,10563.0,Medium
May-2022,BLOUSE,UTTAR PRADESH,Domestic,3649230.0,7488,6786.0,High
May-2022,BOTTOM,TELANGANA,Domestic,75411.0,247,228.0,Medium
Jul-2022,TOP,CANADA,International,10790171.63,7234,6255.0,Medium
Mar-2023,BOTTOM,IRELAND,International,10438300.79,7506,7558.0,Medium
Mar-2024,TOP,VIETNAM,International,438207048.93,1375686,1289219.0,High
Oct-2022,BOTTOM,WEST BENGAL,Domestic,245676.72,229,197.0,Low
Aug-2022,SAREE,AUSTRALIA,International,212144234.68,186549,165284.0,High
Sep-2022,TOP,SOUTH KOREA,International,287246188.65,291343,263955.0,High
Apr-2022,KURTA,PUDUCHERRY,Domestic,72587288.0,200016,181496.0,High
Sep-2021,SAREE,UTTARAKHAND,Domestic,11496431.55,12769,11030.0,Medium
Mar-2022,SAREE,MALAYSIA,International,318987428.39,792678,681969.0,High
Jan-2023,SAREE,RJ,Domestic,12556670.58,11243,11055.0,Medium
Dec-2022,SET,ASSAM,Domestic,6267.0,51,41.0,Low
Oct-2022,BOTTOM,International,International,17160755.0,25475,24291.0,High
Aug-2023,TOP,KARNATAKA,Domestic,4561414.67,8350,7413.0,Medium
Oct-2021,BLOUSE,ARUNACHAL PRADESH,Domestic,18522958.35,21720,20629.0,Medium
May-2022,BOTTOM,MADHYA PRADESH,Domestic,17043.0,57,38.0,Low
Mar-2022,SAREE,SIKKIM,Domestic,3810279.15,4124,3783.0,Medium
Apr-2022,BLOUSE,LAKSHADWEEP,Domestic,624524.5,969,943.0,Medium
Jan-2021,SAREE,BRAZIL,International,96811969.5,295138,295504.0,High
May-2022,KURTA,MADHYA PRADESH,Domestic,417166704.0,877848,855624.0,High
Aug-2021,KURTA,NAGALAND,Domestic,292660.12,341,297.0,Low
Jun-2025,BLOUSE,CHHATTISGARH,Domestic,300564.36,248,242.0,Low
Jun-2021,KURTA,GOA,Domestic,433526579.47,322956,321298.0,High
Feb-2023,BLOUSE,GERMANY,International,346584518.61,551057,559617.0,High
Mar-2024,BLOUSE,THAILAND,International,224428714.42,151372,145439.0,High
Dec-2024,TOP,NEW ZEALAND,International,328364755.04,231695,235931.0,High
Aug-2023,SET,ODISHA,Domestic,459648782.01,442590,393258.0,High
Jun-2022,SET,LAKSHADWEEP,Domestic,886405.0,1049,1049.0,High
Apr-2024,SAREE,ASSAM,Domestic,12367146.07,8441,7805.0,Medium
Apr-2021,BOTTOM,MIZORAM,Domestic,235430549.96,479658,424995.0,High
May-2022,BLOUSE,JHARKHAND,Domestic,311220.0,702,468.0,High
Oct-2023,BLOUSE,GERMANY,International,131930026.12,98655,89960.0,High
Jul-2022,BOTTOM,International,International,2343129.0,4092,3572.0,High
Apr-2025,TOP,NAGALAND,Domestic,201846783.13,146983,125225.0,High
Jun-2022,BLOUSE,PUNJAB,Domestic,70434.0,234,234.0,Medium
Dec-2025,BLOUSE,BELGIUM,International,212574.12,548,544.0,Low
Jun-2022,BLOUSE,ODISHA,Domestic,449046.0,702,702.0,High
Dec-2021,BLOUSE,SWEDEN,International,10251136.05,9236,8292.0,Medium
Apr-2023,SET,MEGHALAYA,Domestic,12402333.17,9525,9449.0,Medium
Oct-2022,BOTTOM,IRELAND,International,19955006.01,16589,16446.0,Medium
Nov-2022,BLOUSE,MADHYA PRADESH,Domestic,5600.0,65,56.0,Low
Jan-2021,KURTA,TELANGANA,Domestic,9658014.61,11489,10852.0,Medium
Jul-2022,TOP,CHHATTISGARH,Domestic,106632.0,381,349.0,Medium
Oct-2024,KURTA,GOA,Domestic,14822497.29,20013,17086.0,Medium
Sep-2022,BLOUSE,MAHARASHTRA,Domestic,394658.11,287,298.0,Low
Jul-2024,BOTTOM,CANADA,International,280422973.9,190229,192512.0,High
Mar-2025,TOP,ITALY,International,96610.87,72,69.0,Low
Feb-2025,KURTA,PUNJAB,Domestic,5845655.26,10761,10098.0,Medium
Jan-2024,SET,SOUTH AFRICA,International,350196843.9,261977,238339.0,High
Nov-2022,BLOUSE,MAHARASHTRA,Domestic,30950370.0,17505,16589.0,High
Nov-2023,SAREE,BIHAR,Domestic,2835062.38,2244,2018.0,Medium
Dec-2024,BLOUSE,TRIPURA,Domestic,410637983.16,460247,410113.0,High
Mar-2022,SET,TAMIL NADU,Domestic,3219381.0,3147,3147.0,High
Apr-2022,SET,MANIPUR,Domestic,62065134.0,69234,68185.0,High
Apr-2022,KURTA,TAMIL NADU,Domestic,2918414936.0,6896848,6693128.0,High
Sep-2021,KURTA,ARUNACHAL PRADESH,Domestic,119916.09,209,211.0,Low
Jul-2023,TOP,SINGAPORE,International,15721168.15,21420,19948.0,Medium
